feature,mean,scale
Coef_182,0.0013094403973509933,0.0060239682066771235
Coef_183,0.00090695695364238413,0.0042963726639670624
Coef_184,0.0068749437086092725,0.0064918867031880604
Coef_185,-0.0050248145695364231,0.0048648057193961857
Coef_186,0.0011818377483443709,0.004709913118055859
Coef_187,-0.013649360927152318,0.0077247924264657918
Coef_188,0.00024787748344370865,0.007430821161932161
Coef_189,0.001371930463576159,0.005050146268795022
Coef_190,-0.0049197615894039735,0.008770215708802263
Coef_191,0.0082842284768211913,0.0077851893955522703
Coef_192,-0.0016407284768211923,0.004473890928359558
Coef_193,-0.0014892251655629139,0.0016575622017323294
Coef_194,0.0011036688741721853,0.0015063460998306103
Coef_195,-0.0019443543046357616,0.0023732838770832267
Coef_196,-0.0020491688741721852,0.0022864590009165357
Coef_197,0.001261039735099338,0.0020617152759815852
Coef_198,0.00050940397350993365,0.0032294620462746701
Coef_199,-0.00055251655629139063,0.0017107279166170104
Coef_200,-0.0031370198675496693,0.0022220833729096603
Coef_201,0.00059942715231788078,0.0022732904776307386
Coef_202,0.0021163675496688743,0.0022753299434724204
Coef_203,-0.0018530430463576158,0.0020994143494626762
Coef_204,8.5715231788079495e-05,0.003214344492261767
Coef_205,-0.00028962582781456956,0.0022728741007534865
Coef_206,0.00045068874172185432,0.0022862815212718259
Coef_207,-0.0011487119205298014,0.003125591942843653
Coef_208,-7.1450331125827809e-05,0.0024844708450660743
Coef_209,5.2324503311258301e-05,0.00218611190145678
Coef_210,0.00038703311258278137,0.003406985882983752
Coef_211,-0.001659996688741722,0.0024191481184901295
Coef_212,0.0016143841059602648,0.0025111164329596168
Coef_213,0.0011961721854304636,0.0028960048199842565
Coef_214,-0.002635486754966887,0.0027885014415559603
Coef_215,-0.0035293807947019864,0.0027542780686594997
Coef_216,0.0033141192052980133,0.003512891054665521
Coef_217,0.0033970033112582783,0.0028492493847117745
Coef_218,-0.0010718145695364238,0.002755169290609958
Coef_219,0.0018905231788079468,0.0032651539436836375
Coef_220,0.0047436854304635772,0.0032932457786599987
Coef_221,-0.00063852649006622506,0.0026442108095970085
Coef_222,0.00075261589403973503,0.0035876087220499445
Coef_223,0.0016801490066225165,0.0033749627578493185
Coef_224,-0.0012922384105960266,0.0026545396795014773
Coef_225,-0.0020582251655629135,0.0034195725947488561
Coef_226,0.00081056291390728483,0.0033759263356189046
Coef_227,0.0069380927152317869,0.0033914634260466133
Coef_228,-0.0012598543046357616,0.0042054368545625855
Coef_229,-0.0017561357615894038,0.0034914440699357224
Coef_230,0.0018732880794701985,0.0042332877106158609
Coef_231,0.0023820132450331128,0.0033981489555827125
Coef_232,-0.0031789867549668871,0.0040225076393257276
Coef_233,0.0026656821192052984,0.0039800078128494334
Coef_234,0.001640615894039735,0.0033097312196766595
Coef_235,0.00047019536423841056,0.0049004177749573134
Coef_236,0.0015232549668874171,0.0041446606749513974
Coef_237,-0.0012525033112582781,0.0039389192905086735
Coef_238,0.0037294668874172181,0.006237978753121899
Coef_239,-0.0087998344370860924,0.0062233374597680177
Coef_240,0.0034047549668874176,0.0039830124235870571
Coef_241,-0.0067517715231788086,0.0062494580780248776
Coef_242,-0.0043601688741721854,0.0077949229520949985
Coef_243,-0.0044762384105960272,0.0039771398816894317
Coef_244,0.0020685562913907284,0.0012344786101363843
Coef_245,-0.0011156059602649008,0.001226790938580956
Coef_246,-0.00017805960264900649,0.0018988383281489565
Coef_247,-0.0010630894039735099,0.0021117693270531293
Coef_248,-0.0011520331125827812,0.0017138326976282861
Coef_249,-0.00023943046357615888,0.0028551486096021392
Coef_250,-7.2655629139072858e-05,0.0013854021748374988
Coef_251,-0.00043401986754966877,0.0019949090270223718
Coef_252,-0.0006527615894039734,0.00201731657448786
Coef_253,-0.0023546754966887414,0.001724581335314406
Coef_254,0.00012058609271523185,0.0018495296102014388
Coef_255,0.0025693509933774838,0.002710716548798394
Coef_256,8.5668874172185411e-05,0.0019369287860279648
Coef_257,0.00055893377483443713,0.0019804808740058483
Coef_258,-0.0012101589403973509,0.0024627148202738028
Coef_259,-8.8182119205297967e-05,0.0020707218827836871
Coef_260,5.6807947019867528e-05,0.0019287506326248482
Coef_261,0.0028164139072847684,0.0024910177826706539
Coef_262,-0.0020938874172185431,0.0019602185124276811
Coef_263,0.00032608940397350992,0.0019905385528588802
Coef_264,0.00049795364238410596,0.0026957058133795049
Coef_265,0.0010507086092715232,0.0020631711369290253
Coef_266,0.0018951324503311258,0.0019864583618884419
Coef_267,-0.0046011622516556293,0.0027225583465732357
Coef_268,0.0011566523178807946,0.001972957742398283
Coef_269,0.0014199668874172184,0.0019463947038754542
Coef_270,-0.0028911655629139076,0.0027611946999920914
Coef_271,0.00036863576158940403,0.0024295194289014957
Coef_272,0.0024045761589403972,0.0021602598183113092
Coef_273,0.00096540728476821199,0.0033634565538666105
Coef_274,0.002963360927152318,0.0024713280887104956
Coef_275,-8.8728476821192063e-05,0.0023928833391161247
Coef_276,0.001581725165562914,0.0030700205816062373
Coef_277,-0.0025512947019867547,0.0026596769738454554
Coef_278,-0.00071289072847682128,0.002377138963885504
Coef_279,0.0050518576158940396,0.0032906549222723293
Coef_280,0.00040185430463576154,0.0026060450977718214
Coef_281,-2.1516556291390707e-05,0.0022223412654353999
Coef_282,0.00210103642384106,0.0033156398824056772
Coef_283,0.0018532185430463579,0.0030109739835678388
Coef_284,-0.0033576953642384107,0.00317571047167595
Coef_285,-0.00050056622516556288,0.0030590991868552088
Coef_286,-0.0023334172185430465,0.0028579540332888953
Coef_287,0.0036855397350993384,0.0032938146663660569
Coef_288,-0.0029542450331125829,0.003351506263062849
Coef_289,0.0011511059602649007,0.0035736616855932312
Coef_290,-0.002341344370860927,0.0033031695385816948
Coef_291,-0.00049107947019867541,0.0031488415446247349
Coef_292,-0.0035670198675496682,0.0035382823113535001
Coef_293,0.0019407384105960266,0.0033781994588669368
Coef_294,-0.0034313079470198664,0.003262620229629021
Coef_295,0.0016982152317880795,0.0048919014697864794
Coef_296,0.0064600927152317876,0.0071405657717769641
Coef_297,0.00065538410596026483,0.0032535973893012497
Coef_298,0.0033424139072847675,0.005117678558230236
Coef_299,-0.01091533774834437,0.005946181492038162
Coef_300,0.0016371953642384104,0.0028221924732152038
Coef_301,-0.00069444701986754961,0.0010209234306090811
Coef_302,0.00011276490066225167,0.0010850475747313055
Coef_303,0.00073153642384105966,0.0012189616620064455
Coef_304,0.0014179735099337748,0.0020652089737502452
Coef_305,0.00027213576158940396,0.0014275513832319546
Coef_306,-0.00057278145695364231,0.0022377243937028333
Coef_307,0.00059761920529801315,0.0012116877387295161
Coef_308,0.0016711754966887414,0.0014431043131405592
Coef_309,-0.00061159271523178807,0.0015931124051502521
Coef_310,0.00094475827814569536,0.0014580742145310981
Coef_311,0.00092544701986754959,0.0014663649345798239
Coef_312,-0.00044287417218543047,0.0020648986820056858
Coef_313,0.0012601092715231786,0.0016200996263557412
Coef_314,0.00026977152317880798,0.0016261569729821516
Coef_315,-0.00018695364238410593,0.001957383435037258
Coef_316,-0.00029920529801324503,0.0016709591757802609
Coef_317,-8.1841059602649006e-05,0.0015205118892009776
Coef_318,0.0016034536423841061,0.0022567167418949558
Coef_319,0.0002838443708609272,0.0017130384624382535
Coef_320,-0.00066483443708609279,0.0017367896849287811
Coef_321,-0.00075121854304635767,0.0021021408762252861
Coef_322,0.00075487417218543052,0.0016128974495741688
Coef_323,-0.0011595960264900662,0.0017041189550510679
Coef_324,-0.0011717450331125826,0.002088026406933468
Coef_325,-0.001625980132450331,0.0016548297844489383
Coef_326,0.0007874933774834437,0.0017738579307727588
Coef_327,0.0011102052980132449,0.0021630010664541676
Coef_328,-0.00087554304635761599,0.0019784507777387567
Coef_329,0.00017886754966887417,0.001834419375724392
Coef_330,-0.0011531523178807948,0.002491691459188445
Coef_331,-0.00098719205298013223,0.001923116970869285
Coef_332,-0.00084307284768211921,0.0018487344144280341
Coef_333,-0.0017311920529801328,0.0023851473643929466
Coef_334,-0.0015238046357615896,0.0019197076242217371
Coef_335,3.857947019867543e-05,0.0022154694191064217
Coef_336,-0.00043035099337748343,0.0025762393563437598
Coef_337,0.00073405298013245026,0.0022932431538665978
Coef_338,0.0029873112582781461,0.0019357709663707925
Coef_339,-0.00062840397350993372,0.0024210808999747657
Coef_340,-0.00058754966887417212,0.0020881318156000311
Coef_341,0.0010485198675496687,0.0019516034546770168
Coef_342,0.00055352317880794707,0.0025788907719601377
Coef_343,3.7281456953642403e-05,0.0024000842156003685
Coef_344,-0.00030388410596026496,0.0020721177644175848
Coef_345,0.003199182119205298,0.0026240894270465002
Coef_346,0.0020954834437086093,0.0025345361785648998
Coef_347,-0.0011820894039735101,0.0029750366075916176
Coef_348,-0.00012450331125827814,0.0025903336993194706
Coef_349,-0.00056393708609271524,0.0028590005905624683
Coef_350,-0.0024388476821192054,0.0027862168926387895
Coef_351,0.00062771854304635765,0.0027579222594181119
Coef_352,0.0015013907284768214,0.0031431308093073933
Coef_353,-0.0013484006622516557,0.0027786471531523063
Coef_354,0.003185771523178808,0.0024621916092469375
Coef_355,-0.001193096026490066,0.0032011066671937729
Coef_356,-0.00055745364238410594,0.0029761611017349362
Coef_357,-0.00067858278145695346,0.0028008450187945373
Coef_358,0.00044676158940397354,0.0037838075049546477
Coef_359,0.0077178708609271542,0.0051324449371612331
Coef_360,-0.0014582516556291387,0.0028372913576028324
Coef_361,0.0026775927152317882,0.0040883897439404583
Coef_362,0.0041765231788079464,0.0061655113271292779
