"Cohort","Side","Model","Fixed_OOF_BA_Tuned","Architecture_OOF_BA_Tuned","Delta_OOF_BA","Fixed_Test_BA_Mean","Architecture_Test_BA_Mean","Delta_Test_BA","Fixed_Test_Accuracy_Mean","Architecture_Test_Accuracy_Mean","Delta_Test_Accuracy","Fixed_Threshold","Architecture_Threshold"
"All_coef","right","SqueezeNet","0.511141906873614","0.532760532150776","0.0216186252771617","0.462121212121212","0.682575757575758","0.220454545454546","0.413333333333333","0.666666666666667","0.253333333333333","0.27","0.265"
"All_coef","right","SVM","0.816574279379157","0.867017738359202","0.0504434589800442","0.803030303030303","0.838636363636364","0.0356060606060604","0.835555555555556","0.786666666666667","-0.048888888888889","0.37","0.2"
"All_coef_Ds004469","left","MLP","0.603338632750397","0.538950715421304","-0.0643879173290938","0.4","0.416666666666667","0.0166666666666666","0.666666666666667","0.694444444444444","0.0277777777777777","0.325","0.505"
"All_coef_Ds004469","left","MobileNet","0.542130365659777","0.611287758346582","0.0691573926868044","0.266666666666667","0.483333333333333","0.216666666666667","0.444444444444444","0.694444444444445","0.25","0.42","0.42"
"All_coef_Ds004469","left","ResNet","0.677265500794913","0.64785373608903","-0.0294117647058825","0.383333333333333","0.45","0.0666666666666667","0.638888888888889","0.638888888888889","1.11022302462516E-16","0.345","0.35"
"All_coef_Ds004469","left","ResNetAE","0.713831478537361","0.623211446740858","-0.0906200317965025","0.483333333333333","0.35","-0.133333333333333","0.583333333333333","0.583333333333333","0","0.295","0.25"
"All_coef_Ds004469","left","SqueezeNet","0.521462639109698","0.5","-0.0214626391096979","0.316666666666667","0.35","0.0333333333333333","0.527777777777778","0.583333333333333","0.0555555555555556","0.47","0.505"
"All_coef_Ds004469","left","SVM","0.530206677265501","0.529411764705882","-0.000794912559618388","0.5","0.5","0","0.833333333333333","0.833333333333333","0","0.505","0.795"
"All_coef_Ds004469","right","MLP","0.744588744588745","0.682900432900433","-0.0616883116883117","0.5","0.5","0","0.916666666666667","0.916666666666667","0","0.24","0.17"
"All_coef_Ds004469","right","MobileNet","0.586580086580087","0.617965367965368","0.0313852813852814","0.454545454545455","0.424242424242424","-0.0303030303030303","0.833333333333333","0.777777777777778","-0.0555555555555556","0.355","0.38"
"All_coef_Ds004469","right","ResNet","0.654761904761905","0.754329004329004","0.0995670995670995","0.333333333333333","0.348484848484848","0.0151515151515151","0.611111111111111","0.638888888888889","0.0277777777777777","0.135","0.23"
"All_coef_Ds004469","right","ResNetAE","0.677489177489177","0.576839826839827","-0.100649350649351","0.348484848484848","0.287878787878788","-0.0606060606060606","0.638888888888889","0.527777777777778","-0.111111111111111","0.345","0.49"
"All_coef_Ds004469","right","SqueezeNet","0.547619047619048","0.554112554112554","0.00649350649350644","0.46969696969697","0.333333333333333","-0.136363636363636","0.305555555555556","0.611111111111111","0.305555555555556","0.185","0.45"
"All_coef_Ds004469","right","SVM","0.502164502164502","0.522727272727273","0.0205627705627706","0.5","0.5","0","0.0833333333333333","0.638888888888889","0.555555555555555","0.49","0.515"
"All_coef_Ds005602","left","MLP","0.899574563367667","0.911553963278101","0.0119793999104343","0.83077485380117","0.854166666666667","0.0233918128654971","0.833333333333333","0.849462365591398","0.0161290322580645","0.325","0.53"
"All_coef_Ds005602","left","MobileNet","0.700029855202269","0.632818331094193","-0.0672115241080758","0.604897660818713","0.618786549707602","0.013888888888889","0.612903225806452","0.623655913978495","0.0107526881720431","0.275","0.395"
"All_coef_Ds005602","left","ResNet","0.689729810419466","0.586505448574414","-0.103224361845051","0.635964912280702","0.503289473684211","-0.132675438596491","0.666666666666667","0.532258064516129","-0.134408602150538","0.37","0.475"
"All_coef_Ds005602","left","ResNetAE","0.74820868786386","0.664017017465293","-0.084191670398567","0.664473684210526","0.610745614035088","-0.0537280701754388","0.682795698924731","0.645161290322581","-0.0376344086021505","0.285","0.39"
"All_coef_Ds005602","left","SqueezeNet","0.531683833407971","0.564300641886849","0.0326168084788775","0.569444444444444","0.681652046783626","0.112207602339181","0.553763440860215","0.725806451612903","0.172043010752688","0.38","0.48"
"All_coef_Ds005602","left","SVM","0.850835945663532","0.896327810120914","0.0454918644573816","0.820540935672515","0.895833333333333","0.0752923976608189","0.833333333333333","0.881720430107527","0.0483870967741935","0.555","0.335"
"All_coef_Ds005602","right","MLP","0.89167589808514","0.878976103813895","-0.0126997942712455","0.859250398724083","0.836722488038277","-0.0225279106858054","0.873015873015873","0.862433862433862","-0.0105820105820106","0.35","0.495"
"All_coef_Ds005602","right","MobileNet","0.71004114575091","0.67934008545656","-0.0307010602943504","0.687400318979266","0.618221690590112","-0.0691786283891548","0.751322751322751","0.682539682539682","-0.0687830687830688","0.38","0.345"
"All_coef_Ds005602","right","ResNet","0.759416046842855","0.752492482987815","-0.00692356385504023","0.766347687400319","0.728668261562998","-0.0376794258373206","0.798941798941799","0.767195767195767","-0.0317460317460319","0.29","0.27"
"All_coef_Ds005602","right","ResNetAE","0.704818800443108","0.738407975945561","0.033589175502453","0.70713716108453","0.767543859649123","0.0604066985645934","0.73015873015873","0.793650793650794","0.0634920634920635","0.175","0.255"
"All_coef_Ds005602","right","SqueezeNet","0.532204462731445","0.516774806140212","-0.0154296565912329","0.468102073365231","0.439792663476874","-0.0283094098883572","0.354497354497354","0.391534391534391","0.037037037037037","0.245","0.24"
"All_coef_Ds005602","right","SVM","0.866355435986707","0.886018357335021","0.0196629213483146","0.812400318979266","0.894138755980861","0.0817384370015949","0.793650793650794","0.873015873015873","0.0793650793650794","0.26","0.38"
