Protocol,Cohort,Side,Model,OptunaTrials,BestTrial,BestOOF_BalancedAccuracy_0_5,OOF_BalancedAccuracy_Tuned,Threshold,BestParams,StudyDir
coef_plsda,All_coef_Ds004469,right,ResNet,10,8,0.6222943722943723,0.7543290043290043,0.23,"{""activation"": ""gelu"", ""base_channels"": 64, ""batch_size"": 16, ""dropout"": 0.10367882064665186, ""kernel_size"": 5, ""lr"": 0.0008878888265538121, ""pls_components"": 24, ""pool_size"": 4, ""residual_blocks"": 2, ""weight_decay"": 2.170500348871115e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\right\ResNet
coef_plsda,All_coef_Ds004469,right,ResNetAE,10,8,0.6222943722943723,0.5768398268398268,0.49,"{""activation"": ""gelu"", ""base_channels"": 32, ""batch_size"": 8, ""bottleneck"": 16, ""dropout"": 0.4713274250350902, ""kernel_size"": 7, ""lr"": 0.0024500297851058135, ""pls_components"": 2, ""pool_size"": 8, ""recon_weight"": 0.058718368852898675, ""residual_blocks"": 3, ""weight_decay"": 0.006542056762893132}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\right\ResNetAE
coef_plsda,All_coef_Ds004469,right,MobileNet,10,2,0.5454545454545454,0.6179653679653679,0.38,"{""activation"": ""gelu"", ""batch_size"": 8, ""depth_multiplier"": 1, ""dropout"": 0.4579309401710595, ""kernel_size"": 3, ""lr"": 0.000642033033629786, ""pls_components"": 24, ""pool_size"": 1, ""weight_decay"": 5.4880470007660465e-06, ""width_multiplier"": 1.5}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\right\MobileNet
coef_plsda,All_coef_Ds004469,right,SqueezeNet,10,8,0.5097402597402597,0.5541125541125541,0.45000000000000007,"{""activation"": ""gelu"", ""batch_size"": 16, ""dropout"": 0.32732344133418867, ""fire_blocks"": 2, ""kernel_size"": 3, ""lr"": 0.000302450850735014, ""pls_components"": 6, ""pool_size"": 4, ""squeeze_ratio"": 2, ""squeeze_width"": 16, ""weight_decay"": 0.0009682012086882475}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds004469\right\SqueezeNet
coef_plsda,All_coef_Ds005602,left,SVM,10,5,0.8878190774742498,0.8963278101209136,0.335,"{""C"": 0.004574162058025036, ""activation"": ""relu"", ""batch_size"": 32, ""dropout"": 0.16448851490160177, ""gamma"": 0.020121155449063854, ""gamma_mode"": ""numeric"", ""kernel"": ""linear"", ""lr"": 0.0004038176882071838, ""pls_components"": 12, ""weight_decay"": 0.001052457468133564}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds005602\left\SVM
coef_plsda,All_coef_Ds005602,left,MLP,10,4,0.8935662039110315,0.9115539632781011,0.53,"{""activation"": ""relu"", ""batch_size"": 8, ""dropout"": 0.23007332881069884, ""hidden_widths"": [32, 32], ""lr"": 0.0018832519048593583, ""mlp_depth"": 2, ""mlp_width"": 32, ""pls_components"": 2, ""weight_decay"": 0.0003113095956122125}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds005602\left\MLP
coef_plsda,All_coef_Ds005602,left,ResNet,10,2,0.6157635467980296,0.5865054485744141,0.475,"{""activation"": ""gelu"", ""base_channels"": 64, ""batch_size"": 8, ""dropout"": 0.4687496940092467, ""kernel_size"": 5, ""lr"": 0.0027051668818999287, ""pls_components"": 12, ""pool_size"": 4, ""residual_blocks"": 1, ""weight_decay"": 0.001260466458564947}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds005602\left\ResNet
coef_plsda,All_coef_Ds005602,left,ResNetAE,10,6,0.6574488729661143,0.6640170174652933,0.39,"{""activation"": ""relu"", ""base_channels"": 64, ""batch_size"": 8, ""bottleneck"": 64, ""dropout"": 0.3639936184136716, ""kernel_size"": 3, ""lr"": 0.0003190041672417553, ""pls_components"": 12, ""pool_size"": 4, ""recon_weight"": 0.03216161028349973, ""residual_blocks"": 1, ""weight_decay"": 2.843767489444368e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds005602\left\ResNetAE
coef_plsda,All_coef_Ds005602,left,MobileNet,10,7,0.6297208538587848,0.6328183310941932,0.395,"{""activation"": ""relu"", ""batch_size"": 8, ""depth_multiplier"": 3, ""dropout"": 0.1905983100791752, ""kernel_size"": 3, ""lr"": 0.00011487613841748918, ""pls_components"": 6, ""pool_size"": 8, ""weight_decay"": 0.00023097861492693574, ""width_multiplier"": 0.5}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds005602\left\MobileNet
coef_plsda,All_coef_Ds005602,left,SqueezeNet,10,0,0.5427302582474997,0.5643006418868488,0.48,"{""activation"": ""gelu"", ""batch_size"": 8, ""dropout"": 0.16239780813448107, ""fire_blocks"": 3, ""kernel_size"": 5, ""lr"": 0.0003574712922600243, ""pls_components"": 8, ""pool_size"": 4, ""squeeze_ratio"": 4, ""squeeze_width"": 32, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds005602\left\SqueezeNet
coef_plsda,All_coef_Ds005602,right,SVM,10,6,0.8874030701060294,0.8860183573350213,0.38,"{""C"": 0.0016646452049870533, ""activation"": ""relu"", ""batch_size"": 8, ""dropout"": 0.2350460685614512, ""gamma_mode"": ""scale"", ""kernel"": ""linear"", ""lr"": 0.00010239273411172726, ""pls_components"": 8, ""weight_decay"": 0.00011040511903162256}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds005602\right\SVM
coef_plsda,All_coef_Ds005602,right,MLP,10,7,0.9000633011552461,0.8789761038138946,0.495,"{""activation"": ""relu"", ""batch_size"": 8, ""dropout"": 0.11475477894181313, ""hidden_widths"": [64], ""lr"": 0.0026402883285404338, ""mlp_depth"": 1, ""mlp_width"": 64, ""pls_components"": 24, ""weight_decay"": 1.0165510266418738e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds005602\right\MLP
coef_plsda,All_coef_Ds005602,right,ResNet,10,0,0.6972622250356069,0.7524924829878146,0.27,"{""activation"": ""gelu"", ""base_channels"": 64, ""batch_size"": 8, ""dropout"": 0.16239780813448107, ""kernel_size"": 7, ""lr"": 0.0003574712922600243, ""pls_components"": 8, ""pool_size"": 8, ""residual_blocks"": 1, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds005602\right\ResNet
coef_plsda,All_coef_Ds005602,right,ResNetAE,10,0,0.7353220446273145,0.7384079759455611,0.255,"{""activation"": ""gelu"", ""base_channels"": 64, ""batch_size"": 8, ""bottleneck"": 16, ""dropout"": 0.16239780813448107, ""kernel_size"": 7, ""lr"": 0.0003574712922600243, ""pls_components"": 8, ""pool_size"": 8, ""recon_weight"": 0.009290082543999545, ""residual_blocks"": 1, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds005602\right\ResNetAE
coef_plsda,All_coef_Ds005602,right,MobileNet,10,1,0.629688241810413,0.6793400854565596,0.345,"{""activation"": ""relu"", ""batch_size"": 32, ""depth_multiplier"": 1, ""dropout"": 0.1185801650879991, ""kernel_size"": 3, ""lr"": 0.000471705203762518, ""pls_components"": 6, ""pool_size"": 1, ""weight_decay"": 0.0013826232179369874, ""width_multiplier"": 1.5}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds005602\right\MobileNet
coef_plsda,All_coef_Ds005602,right,SqueezeNet,10,4,0.50858521918025,0.516774806140212,0.24000000000000002,"{""activation"": ""gelu"", ""batch_size"": 32, ""dropout"": 0.4232481518257668, ""fire_blocks"": 4, ""kernel_size"": 3, ""lr"": 0.00021775224101934097, ""pls_components"": 16, ""pool_size"": 8, ""squeeze_ratio"": 2, ""squeeze_width"": 32, ""weight_decay"": 2.031980983842497e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\studies\coef_plsda\All_coef_Ds005602\right\SqueezeNet
