Protocol,Cohort,Side,Model,EvalSeed,OptunaTrials,BestOOF_BalancedAccuracy_0_5,OOF_BalancedAccuracy_Tuned,Threshold,Test_Accuracy_0_5,Test_BalancedAccuracy_0_5,Test_F1_Macro_0_5,Test_Accuracy_Tuned,Test_BalancedAccuracy_Tuned,Test_Sensitivity_Tuned,Test_Specificity_Tuned,Test_F1_Macro_Tuned,Test_ROC_AUC,Test_PR_AUC,BestParams,RunDir
coef_plsda,All_coef_Ds005602,left,ResNetAE,42,10,0.6574488729661143,0.6640170174652933,0.39,0.6129032258064516,0.5767543859649122,0.5772727272727273,0.6129032258064516,0.5767543859649122,0.4166666666666667,0.7368421052631579,0.5772727272727273,0.5964912280701754,0.47680152136091203,"{""activation"": ""relu"", ""base_channels"": 64, ""batch_size"": 8, ""bottleneck"": 64, ""dropout"": 0.3639936184136716, ""kernel_size"": 3, ""lr"": 0.0003190041672417553, ""pls_components"": 12, ""pool_size"": 4, ""recon_weight"": 0.03216161028349973, ""residual_blocks"": 1, ""weight_decay"": 2.843767489444368e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef_Ds005602\left\ResNetAE\seed_42
coef_plsda,All_coef_Ds005602,left,ResNetAE,123,10,0.6574488729661143,0.6640170174652933,0.39,0.6451612903225806,0.6107456140350878,0.6125,0.6612903225806451,0.631578947368421,0.5,0.7631578947368421,0.6337552742616033,0.7182017543859649,0.6119765508065226,"{""activation"": ""relu"", ""base_channels"": 64, ""batch_size"": 8, ""bottleneck"": 64, ""dropout"": 0.3639936184136716, ""kernel_size"": 3, ""lr"": 0.0003190041672417553, ""pls_components"": 12, ""pool_size"": 4, ""recon_weight"": 0.03216161028349973, ""residual_blocks"": 1, ""weight_decay"": 2.843767489444368e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef_Ds005602\left\ResNetAE\seed_123
coef_plsda,All_coef_Ds005602,left,ResNetAE,2026,10,0.6574488729661143,0.6640170174652933,0.39,0.6612903225806451,0.6239035087719298,0.6261843238587426,0.6612903225806451,0.6239035087719298,0.4583333333333333,0.7894736842105263,0.6261843238587426,0.6567982456140351,0.5389344700864309,"{""activation"": ""relu"", ""base_channels"": 64, ""batch_size"": 8, ""bottleneck"": 64, ""dropout"": 0.3639936184136716, ""kernel_size"": 3, ""lr"": 0.0003190041672417553, ""pls_components"": 12, ""pool_size"": 4, ""recon_weight"": 0.03216161028349973, ""residual_blocks"": 1, ""weight_decay"": 2.843767489444368e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef_Ds005602\left\ResNetAE\seed_2026
coef_plsda,All_coef_Ds005602,left,MobileNet,42,10,0.6297208538587848,0.6328183310941932,0.395,0.7580645161290323,0.7642543859649122,0.7528567632208345,0.7419354838709677,0.7510964912280702,0.7916666666666666,0.7105263157894737,0.7375661375661375,0.8377192982456141,0.8329706097184937,"{""activation"": ""relu"", ""batch_size"": 8, ""depth_multiplier"": 3, ""dropout"": 0.1905983100791752, ""kernel_size"": 3, ""lr"": 0.00011487613841748918, ""pls_components"": 6, ""pool_size"": 8, ""weight_decay"": 0.00023097861492693574, ""width_multiplier"": 0.5}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef_Ds005602\left\MobileNet\seed_42
coef_plsda,All_coef_Ds005602,left,MobileNet,123,10,0.6297208538587848,0.6328183310941932,0.395,0.5967741935483871,0.555921052631579,0.5549813379270744,0.532258064516129,0.5263157894736843,0.5,0.5526315789473685,0.5221897422269466,0.5438596491228069,0.4269252039832777,"{""activation"": ""relu"", ""batch_size"": 8, ""depth_multiplier"": 3, ""dropout"": 0.1905983100791752, ""kernel_size"": 3, ""lr"": 0.00011487613841748918, ""pls_components"": 6, ""pool_size"": 8, ""weight_decay"": 0.00023097861492693574, ""width_multiplier"": 0.5}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef_Ds005602\left\MobileNet\seed_123
coef_plsda,All_coef_Ds005602,left,MobileNet,2026,10,0.6297208538587848,0.6328183310941932,0.395,0.6612903225806451,0.6162280701754386,0.6173964149280048,0.5967741935483871,0.5789473684210527,0.5,0.6578947368421053,0.5782312925170068,0.6162280701754386,0.5844937768033915,"{""activation"": ""relu"", ""batch_size"": 8, ""depth_multiplier"": 3, ""dropout"": 0.1905983100791752, ""kernel_size"": 3, ""lr"": 0.00011487613841748918, ""pls_components"": 6, ""pool_size"": 8, ""weight_decay"": 0.00023097861492693574, ""width_multiplier"": 0.5}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef_Ds005602\left\MobileNet\seed_2026
coef_plsda,All_coef_Ds005602,left,SqueezeNet,42,10,0.5427302582474997,0.5643006418868488,0.48,0.7258064516129032,0.668859649122807,0.6725691208449829,0.7258064516129032,0.668859649122807,0.4166666666666667,0.9210526315789473,0.6725691208449829,0.8103070175438597,0.7748081028488134,"{""activation"": ""gelu"", ""batch_size"": 8, ""dropout"": 0.16239780813448107, ""fire_blocks"": 3, ""kernel_size"": 5, ""lr"": 0.0003574712922600243, ""pls_components"": 8, ""pool_size"": 4, ""squeeze_ratio"": 4, ""squeeze_width"": 32, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef_Ds005602\left\SqueezeNet\seed_42
coef_plsda,All_coef_Ds005602,left,SqueezeNet,123,10,0.5427302582474997,0.5643006418868488,0.48,0.7741935483870968,0.7467105263157895,0.7534090909090909,0.7741935483870968,0.7467105263157895,0.625,0.868421052631579,0.7534090909090909,0.844298245614035,0.8100846235386547,"{""activation"": ""gelu"", ""batch_size"": 8, ""dropout"": 0.16239780813448107, ""fire_blocks"": 3, ""kernel_size"": 5, ""lr"": 0.0003574712922600243, ""pls_components"": 8, ""pool_size"": 4, ""squeeze_ratio"": 4, ""squeeze_width"": 32, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef_Ds005602\left\SqueezeNet\seed_123
coef_plsda,All_coef_Ds005602,left,SqueezeNet,2026,10,0.5427302582474997,0.5643006418868488,0.48,0.6774193548387096,0.6293859649122807,0.6309523809523809,0.6774193548387096,0.6293859649122807,0.4166666666666667,0.8421052631578947,0.6309523809523809,0.6622807017543859,0.558448460290512,"{""activation"": ""gelu"", ""batch_size"": 8, ""dropout"": 0.16239780813448107, ""fire_blocks"": 3, ""kernel_size"": 5, ""lr"": 0.0003574712922600243, ""pls_components"": 8, ""pool_size"": 4, ""squeeze_ratio"": 4, ""squeeze_width"": 32, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef_Ds005602\left\SqueezeNet\seed_2026
coef_plsda,All_coef_Ds005602,right,SVM,42,10,0.8874030701060294,0.8860183573350213,0.38,0.8571428571428571,0.8528708133971292,0.8373027259684362,0.8571428571428571,0.8827751196172249,0.9473684210526315,0.8181818181818182,0.8444444444444446,0.9545454545454546,0.8842356107869636,"{""C"": 0.0016646452049870533, ""activation"": ""relu"", ""batch_size"": 8, ""dropout"": 0.2350460685614512, ""gamma_mode"": ""scale"", ""kernel"": ""linear"", ""lr"": 0.00010239273411172726, ""pls_components"": 8, ""weight_decay"": 0.00011040511903162256}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\architecture_optuna_current_spharm_80_20_20260922\final\coef_plsda\All_coef_Ds005602\right\SVM\seed_42
