Protocol,Side,Model,Seed,TrainRows,TestRows,TestAccuracy,TestBalancedAccuracy,TestSensitivity,TestSpecificity,TestF1Macro,TestROCAUC,TestPRAUC,RunDir,Status
between_class,right,ResNetAE,42,820,75,0.6266666666666667,0.5386363636363636,0.35,0.7272727272727273,0.537037037037037,0.5900000000000001,0.3369128193230199,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\between_class\right\ResNetAE\seed_42,OK
between_class,right,ResNetAE,123,820,75,0.7333333333333333,0.6590909090909092,0.5,0.8181818181818182,0.6590909090909092,0.7090909090909091,0.44556954160868223,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\between_class\right\ResNetAE\seed_123,OK
between_class,right,ResNetAE,2026,820,75,0.6133333333333333,0.49772727272727274,0.25,0.7454545454545455,0.49757449757449757,0.5363636363636364,0.353054544664629,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\between_class\right\ResNetAE\seed_2026,OK
between_class,right,MobileNet,42,820,75,0.7733333333333333,0.6863636363636363,0.5,0.8727272727272727,0.6950490313322171,0.8063636363636364,0.6644385349097703,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\between_class\right\MobileNet\seed_42,OK
between_class,right,MobileNet,123,820,75,0.7333333333333333,0.5795454545454546,0.25,0.9090909090909091,0.5833333333333333,0.7054545454545453,0.43434405297380024,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\between_class\right\MobileNet\seed_123,OK
between_class,right,MobileNet,2026,820,75,0.7733333333333333,0.7022727272727273,0.55,0.8545454545454545,0.7054747054747055,0.7809090909090909,0.5528736625313385,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\between_class\right\MobileNet\seed_2026,OK
between_class,right,SqueezeNet,42,820,75,0.7466666666666667,0.6681818181818182,0.5,0.8363636363636363,0.6708246708246709,0.8,0.5969876466416064,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\between_class\right\SqueezeNet\seed_42,OK
between_class,right,SqueezeNet,123,820,75,0.49333333333333335,0.6386363636363637,0.95,0.32727272727272727,0.4932432432432433,0.8281818181818181,0.5877262633587678,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\between_class\right\SqueezeNet\seed_123,OK
between_class,right,SqueezeNet,2026,820,75,0.7733333333333333,0.7181818181818181,0.6,0.8363636363636363,0.7147012754531215,0.7227272727272727,0.5301664899148759,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\between_class\right\SqueezeNet\seed_2026,OK
within_class,left,SVM,42,1040,74,0.8513513513513513,0.8325320512820513,0.7692307692307693,0.8958333333333334,0.8354558318172629,0.8886217948717949,0.8727487941535399,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pairwise_preaugmented_training_20260924\within_class\left\SVM\seed_42,OK
